15:12:05.851 TRACE [Log4JLogger              ] 41   setup                     - entry
15:12:15.868 DEBUG [ConnectionFilter         ] 47   <init>                    - ConnectionFilter instantiated
15:12:17.661 DEBUG [ConnectionsMonitor       ] 52   monitorRequest            - Add new client to the monitoring map : ConnectInfo [from :127.0.0.1, Location : Seattle , United States]
15:12:23.394 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
15:12:23.395 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
15:13:00.591 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
15:13:00.593 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
15:13:00.600 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
15:13:01.325 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
15:14:05.441 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :127.0.0.1, Location : Seattle , United States] accessing resource : /ws-resources/analysis/report/931f4fbb-77a0-4650-92da-a7594b087388
09:14:56.409 DEBUG [ConnectionsMonitor       ] 52   monitorRequest            - Add new client to the monitoring map : ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland]
09:14:56.487 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/bs-model/userinfo
09:14:56.487 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/bs-model/connectionstatus
09:15:02.462 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/datastorage/libFiles
09:15:02.462 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/datastorage/dataFiles
09:15:02.493 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/process/confinit
09:15:03.415 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :129.132.211.253, Location : Zurich , Switzerland] accessing resource : /ws-resources/bs-model/userruns
09:23:16.865 DEBUG [ConnectionsMonitor       ] 52   monitorRequest            - Add new client to the monitoring map : ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States]
09:23:16.865 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
09:23:16.872 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
09:23:38.536 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
09:23:38.695 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
09:23:38.695 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
09:23:38.846 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userruns
09:23:40.290 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
09:23:40.292 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
09:23:40.298 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/libFiles
09:29:14.330 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/datastorage/dataFiles
09:29:14.340 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/process/confinit
